Date,Ticker,Sector,Rank,Final_Score,ML_Score,Momentum_Score,Return_20,Return_60,RSI,Volatility,Volume_change,Signal_Summary
2023-09-29,JPM,Finance,2,-0.0855747844127986,0.0138014693175408,0.0481505093250866,-0.0089523511392162,0.012638764567689,51.70731026526112,0.0091208094173257,0.3438955356840811,Final Score=-0.086; ML Score=0.014; Momentum Score=0.048; 20D Return=-0.009; 60D Return=0.013; RSI=51.707; Volatility=0.009
2023-09-29,GS,Finance,3,-0.3848614260138195,0.012471705797149,0.0041310168284881,-0.0126330726520642,0.0337699914511782,48.93869190606003,0.012076147260193,0.0102907311456534,Final Score=-0.385; ML Score=0.012; Momentum Score=0.004; 20D Return=-0.013; 60D Return=0.034; RSI=48.939; Volatility=0.012
2023-10-31,GS,Finance,1,0.0021790471550605,0.0362390514013228,-0.0638029499328592,-0.0081994309606079,-0.1461075839907166,40.431144220987946,0.0138872634741277,-0.148179564139371,Final Score=0.002; ML Score=0.036; Momentum Score=-0.064; 20D Return=-0.008; 60D Return=-0.146; RSI=40.431; Volatility=0.014
2023-10-31,JPM,Finance,2,-0.0114420371428215,0.0294307674594187,-0.0346143332522637,-0.0255764065836791,-0.1129114414932588,31.603527815038348,0.0120345886075623,-0.0185683121099893,Final Score=-0.011; ML Score=0.029; Momentum Score=-0.035; 20D Return=-0.026; 60D Return=-0.113; RSI=31.604; Volatility=0.012
2023-10-31,BAC,Finance,3,-0.0511545294216793,0.0285152188983617,-0.0562450257411843,0.0165959207915136,-0.1737766359478628,44.37086280932023,0.0178258176747472,0.1960951878525443,Final Score=-0.051; ML Score=0.029; Momentum Score=-0.056; 20D Return=0.017; 60D Return=-0.174; RSI=44.371; Volatility=0.018
2023-11-30,V,Finance,1,0.1572307514073779,0.0125548521419021,0.0815958159585073,0.0758654988088385,0.0427363863225811,89.74628631523596,0.0067405287999252,0.387398841597546,Final Score=0.157; ML Score=0.013; Momentum Score=0.082; 20D Return=0.076; 60D Return=0.043; RSI=89.746; Volatility=0.007
2023-11-30,BAC,Finance,2,0.0127177076990353,0.0116550155272914,0.0721177729244663,0.154924250442682,0.0739697226705622,84.57943841936013,0.0185832303991909,-0.0933001351050558,Final Score=0.013; ML Score=0.012; Momentum Score=0.072; 20D Return=0.155; 60D Return=0.074; RSI=84.579; Volatility=0.019
2023-11-30,JPM,Finance,3,0.0048925414067701,0.0102516879224184,0.0877811971134249,0.1233625960016571,0.0767107795402974,90.85252759384232,0.0068716124871249,0.0814915462245646,Final Score=0.005; ML Score=0.01; Momentum Score=0.088; 20D Return=0.123; 60D Return=0.077; RSI=90.853; Volatility=0.007
2023-12-29,BAC,Finance,1,1.4677809257114045,0.022189354263333,0.1684633368893643,0.1042964388881177,0.2979952766284135,73.81370596252746,0.0176544321337698,0.2872116919576506,Final Score=1.468; ML Score=0.022; Momentum Score=0.168; 20D Return=0.104; 60D Return=0.298; RSI=73.814; Volatility=0.018
2023-12-29,GS,Finance,2,0.5418858949389809,0.0158684672103708,0.1737480736558161,0.1295016084855913,0.2500647484895728,79.01025291745975,0.0167994450918453,-0.1399433980677271,Final Score=0.542; ML Score=0.016; Momentum Score=0.174; 20D Return=0.13; 60D Return=0.25; RSI=79.01; Volatility=0.017
2023-12-29,JPM,Finance,3,0.1390563867939435,0.01480296937646,0.1301215485611818,0.0898257567144096,0.1866062006351316,86.23280640525559,0.0069272658891277,0.0181959146216041,Final Score=0.139; ML Score=0.015; Momentum Score=0.13; 20D Return=0.09; 60D Return=0.187; RSI=86.233; Volatility=0.007
2024-01-31,JPM,Finance,1,0.1362930593003899,0.0193321892416395,0.122736647869998,0.0132496440901677,0.232923227746439,58.798720770753306,0.0086860564485744,0.0646547342937138,Final Score=0.136; ML Score=0.019; Momentum Score=0.123; 20D Return=0.013; 60D Return=0.233; RSI=58.799; Volatility=0.009
2024-01-31,GS,Finance,2,-0.0170645651816141,0.0172007208120975,0.1089835859770077,-0.0110481024007423,0.2238972393342158,52.21815482539069,0.0100003169374552,-0.1223222760973857,Final Score=-0.017; ML Score=0.017; Momentum Score=0.109; 20D Return=-0.011; 60D Return=0.224; RSI=52.218; Volatility=0.01
2024-01-31,V,Finance,3,-0.0874047647698358,0.01651204781504,0.0979209916713862,0.0555878043800452,0.1233710576181912,66.18309222731102,0.0084715075295565,-0.0625591693388303,Final Score=-0.087; ML Score=0.017; Momentum Score=0.098; 20D Return=0.056; 60D Return=0.123; RSI=66.183; Volatility=0.008
2024-02-29,V,Finance,1,0.065098565166685,0.0166604363721761,0.0871912054638096,0.0343262993032085,0.1021251752574032,61.63505345243629,0.0096454647920126,0.5219096999174084,Final Score=0.065; ML Score=0.017; Momentum Score=0.087; 20D Return=0.034; 60D Return=0.102; RSI=61.635; Volatility=0.01
2024-02-29,GS,Finance,2,-0.1230699790290132,0.0125875452895614,0.1099864123948245,0.0131246006592895,0.1165800762593505,54.29794187856161,0.011971598765291,0.2200629639706168,Final Score=-0.123; ML Score=0.013; Momentum Score=0.11; 20D Return=0.013; 60D Return=0.117; RSI=54.298; Volatility=0.012
2024-02-29,JPM,Finance,3,-0.1246372571292815,0.0099427339983138,0.1748719426004769,0.0671025287180893,0.1863045262877498,82.61876619478744,0.0069094373397691,0.5726727118533499,Final Score=-0.125; ML Score=0.01; Momentum Score=0.175; 20D Return=0.067; 60D Return=0.186; RSI=82.619; Volatility=0.007
