Date,Strategy_Drawdown,SPY_Drawdown
2023-10-31,-0.05930054697762821,-0.10049688773048815
2023-11-01,-0.04626971934497581,-0.09090389494861306
2023-11-02,-0.03067093386376063,-0.07348160552420757
2023-11-03,-0.015621135838061906,-0.06502860893376727
2023-11-06,-0.011714985898429342,-0.06287782605150682
2023-11-07,-0.008495039663883208,-0.06021067920585754
2023-11-08,-0.006655712644463629,-0.05952237450764297
2023-11-09,-0.012680999385088598,-0.06685697754328068
2023-11-10,0.0,-0.0522953783359823
2023-11-13,-0.00013723570551638087,-0.05319869360255891
2023-11-14,0.0,-0.034830086797904336
2023-11-15,0.0,-0.03278677533989294
2023-11-16,0.0,-0.031603777034785785
2023-11-17,-0.0002962410572633356,-0.03039924381291037
2023-11-20,0.0,-0.022935702156119397
2023-11-21,-0.002575755656939571,-0.025065085561339573
2023-11-22,0.0,-0.021301012357791804
2023-11-24,-0.0017132882850934283,-0.020698847326650283
2023-11-27,-0.004397995771004637,-0.022462475746130917
2023-11-28,-0.0030301027731413077,-0.021494623449113903
2023-11-29,-0.0032599576975109734,-0.022182860427464424
2023-11-30,-0.001325463134159488,-0.018332782996571817
2023-12-01,-0.005923363951397698,-0.01252546605487681
2023-12-04,-0.012188159580871716,-0.017709083048662033
2023-12-05,-0.011371281451435622,-0.01790262642011986
2023-12-06,-0.018020211722125534,-0.021860242995125345
2023-12-07,-0.005742308041764677,-0.014396565898606384
2023-12-08,0.0,-0.010159334004934184
2023-12-11,-0.007151052194809604,-0.006309459733633727
2023-12-12,0.0,-0.0017709421647983392
2023-12-13,0.0,0.0
2023-12-14,0.0,0.0
2023-12-15,0.0,-0.001646433383583057
2023-12-18,0.0,0.0
2023-12-19,0.0,0.0
2023-12-20,-0.011324671608519798,-0.013857249423357532
2023-12-21,0.0,-0.0045068188037746815
2023-12-22,0.0,-0.002506070198758259
2023-12-26,0.0,0.0
2023-12-27,0.0,0.0
2023-12-28,0.0,0.0
2023-12-29,-0.0020223671193326798,-0.002895111970072084
2024-01-02,-0.0013227134597281198,-0.008475163845405365
2024-01-03,-0.006943937538244738,-0.016572675789691127
2024-01-04,-0.01007211359731619,-0.0197403207377006
2024-01-05,-0.005373297535429811,-0.018397785003515965
2024-01-08,0.0,-0.004384406351077508
2024-01-09,-0.004229118143160182,-0.00589481661089486
2024-01-10,0.0,-0.00027279610415320565
2024-01-11,-0.005247792110819827,-0.0007132693892776265
