Date,Strategy_Drawdown,SPY_Drawdown
2020-11-09,0.0,-0.004810594173988214
2020-11-10,-0.01143772087283268,-0.0062701280767568646
2020-11-11,0.0,0.0
2020-11-12,-0.007220176954144342,-0.009700867982114447
2020-11-13,0.0,0.0
2020-11-16,0.0,0.0
2020-11-17,-0.005555600475017797,-0.0053782748097578326
2020-11-18,-0.014058891494294734,-0.017348459307501618
2020-11-19,-0.011666858282017079,-0.013211331823084427
2020-11-20,-0.023753573065749545,-0.01996867939436653
2020-11-23,-0.017603014278023466,-0.014093909334410348
2020-11-24,0.0,0.0
2020-11-25,0.0,-0.0015419279410630038
2020-11-27,0.0,0.0
2020-11-30,-0.007286370059870095,-0.004427060324762144
2020-12-01,0.0,0.0
2020-12-02,0.0,0.0
2020-12-03,-0.0066161922051029,-0.00027240795528171713
2020-12-04,0.0,0.0
2020-12-07,0.0,-0.0020552180632741335
2020-12-08,0.0,0.0
2020-12-09,-0.012320478825369019,-0.00896901107421344
2020-12-10,-0.015849048143462885,-0.009293093617788406
2020-12-11,-0.02325056241780976,-0.01045477478797896
2020-12-14,-0.032094513356274,-0.014885207277200663
2020-12-15,-0.021990426702961585,-0.0015669622215271906
2020-12-16,-0.022972624547044962,0.0
2020-12-17,-0.020293290620665316,0.0
2020-12-18,-0.025894811959415898,-0.00399295086922824
2020-12-21,-0.019038421646635828,-0.0075540425399439615
2020-12-22,-0.027058265359469202,-0.00922699945148664
2020-12-23,-0.02107037390230493,-0.008336571761414224
2020-12-24,-0.018872387575506133,-0.004478582419306543
2020-12-28,-0.007379597896223333,0.0
2020-12-29,-0.0070776333008740755,-0.0019078676108996717
2020-12-30,-0.007995410231528832,-0.00048383734010482016
2020-12-31,-0.00191021316116613,0.0
2021-01-04,-0.008044857826916663,-0.013614109341628211
2021-01-05,-0.002353263631365232,-0.006820513499468106
2021-01-06,0.0,-0.0008828465519050699
2021-01-07,0.0,0.0
2021-01-08,0.0,0.0
2021-01-11,0.0,-0.006740939468514839
2021-01-12,0.0,-0.006531228230313824
2021-01-13,0.0,-0.0038557977719878567
2021-01-14,-6.226990252533593e-05,-0.007344106477936152
2021-01-15,-0.010026725031326067,-0.014583400328005869
2021-01-19,-0.007101264128778317,-0.006846010043784045
2021-01-20,-0.004746302897943533,0.0
2021-01-21,-0.008577011323341321,0.0
2021-01-22,-0.012974377106129031,-0.0035394900513427974
2021-01-25,-0.0171496426239951,0.0
2021-01-26,-0.019161962829300605,-0.0015606668294421144
2021-01-27,-0.0528451353456969,-0.025963099866388006
2021-01-28,-0.04192305407246477,-0.01758624197994174
2021-01-29,-0.059510898760515185,-0.03725379947750895
2021-02-01,-0.046292500255164626,-0.021228394891689817
2021-02-02,-0.026679236391628725,-0.007388264996451399
2021-02-03,-0.013401949344225006,-0.00660784629938993
2021-02-04,0.0,0.0
2021-02-05,0.0,0.0
2021-02-08,0.0,0.0
2021-02-09,-0.0030098519968863036,-0.0006661099381084501
2021-02-10,0.0,-0.0011012010293769414
2021-02-11,0.0,0.0
2021-02-12,0.0,0.0
2021-02-16,0.0,-0.0008659626420443045
2021-02-17,-0.0014075298554223625,-0.000636697947187681
2021-02-18,-0.0057537446385810265,-0.004889950441756108
2021-02-19,-0.0035031436517487524,-0.006647256813694935
2021-02-22,-0.008410007930015118,-0.014287882651208172
2021-02-23,-0.009145201290582827,-0.013090797001224397
2021-02-24,0.0,-0.002215835761652296
2021-02-25,-0.023750181415122973,-0.026257987737261068
